Number of threads, Number of insertions, Number of reads, Block Size, Size unit, Memory consumption, Total number of requests, Time elapsed, Requests per second
1, 4096, 4096, 1, KB, 4MB, 8192, 0.767597, 10672
1, 4096, 4096, 2, KB, 8MB, 8192, 0.795937, 10292
1, 4096, 4096, 4, KB, 16MB, 8192, 0.777049, 10542
1, 4096, 4096, 8, KB, 32MB, 8192, 0.832811, 9836
1, 4096, 4096, 16, KB, 64MB, 8192, 0.880042, 9308
1, 4096, 4096, 32, KB, 128MB, 8192, 1.01157, 8098
1, 4096, 4096, 64, KB, 256MB, 8192, 1.28919, 6354
1, 4096, 4096, 128, KB, 512MB, 8192, 1.84078, 4450
1, 4096, 4096, 256, KB, 1024MB, 8192, 2.69071, 3044
1, 4096, 4096, 512, KB, 2048MB, 8192, 4.39794, 1862
1, 4096, 4096, 1024, KB, 4096MB, 8192, 10.3947, 788
1, 2048, 2048, 1, MB, 2048MB, 4096, 10.7905, 379
1, 1024, 1024, 2, MB, 2048MB, 2048, 6.20036, 330
1, 512, 512, 4, MB, 2048MB, 1024, 8.25742, 124
1, 256, 256, 8, MB, 2048MB, 512, 7.06829, 72
1, 128, 128, 16, MB, 2048MB, 256, 6.59775, 38
2, 2048, 2048, 1, KB, 4MB, 8192, 0.975042, 8401
2, 2048, 2048, 2, KB, 8MB, 8192, 0.730466, 11214
2, 2048, 2048, 4, KB, 16MB, 8192, 0.782864, 10464
2, 2048, 2048, 8, KB, 32MB, 8192, 0.750729, 10912
2, 2048, 2048, 16, KB, 64MB, 8192, 0.799791, 10242
2, 2048, 2048, 32, KB, 128MB, 8192, 1.03441, 7919
2, 2048, 2048, 64, KB, 256MB, 8192, 1.29143, 6343
2, 2048, 2048, 128, KB, 512MB, 8192, 1.68982, 4847
2, 2048, 2048, 256, KB, 1024MB, 8192, 2.68235, 3054
2, 2048, 2048, 512, KB, 2048MB, 8192, 3.9047, 2097
2, 2048, 2048, 1024, KB, 4096MB, 8192, 9.9694, 821
2, 1024, 1024, 1, MB, 2048MB, 4096, 5.71651, 716
2, 512, 512, 2, MB, 2048MB, 2048, 5.35302, 382
2, 256, 256, 4, MB, 2048MB, 1024, 6.21227, 164
2, 128, 128, 8, MB, 2048MB, 512, 5.58216, 91
2, 64, 64, 16, MB, 2048MB, 256, 4.95383, 51
3, 1365, 1365, 1, KB, 3MB, 8190, 0.860127, 9521
3, 1365, 1365, 2, KB, 7MB, 8190, 0.811879, 10087
3, 1365, 1365, 4, KB, 15MB, 8190, 0.794767, 10304
3, 1365, 1365, 8, KB, 31MB, 8190, 0.809163, 10121
3, 1365, 1365, 16, KB, 63MB, 8190, 0.873906, 9371
3, 1365, 1365, 32, KB, 127MB, 8190, 1.02738, 7971
3, 1365, 1365, 64, KB, 255MB, 8190, 1.31481, 6229
3, 1365, 1365, 128, KB, 511MB, 8190, 1.79559, 4561
3, 1365, 1365, 256, KB, 1023MB, 8190, 2.80821, 2916
3, 1365, 1365, 512, KB, 2047MB, 8190, 4.72209, 1734
3, 1365, 1365, 1024, KB, 4095MB, 8190, 9.61277, 851
3, 682, 682, 1, MB, 2046MB, 4092, 6.07554, 673
3, 341, 341, 2, MB, 2046MB, 2046, 5.13851, 398
3, 170, 170, 4, MB, 2040MB, 1020, 4.96069, 205
3, 85, 85, 8, MB, 2040MB, 510, 5.19966, 98
3, 42, 42, 16, MB, 2016MB, 252, 5.82822, 43
4, 1024, 1024, 1, KB, 4MB, 8192, 0.827301, 9902
4, 1024, 1024, 2, KB, 8MB, 8192, 0.782432, 10469
4, 1024, 1024, 4, KB, 16MB, 8192, 0.756778, 10824
4, 1024, 1024, 8, KB, 32MB, 8192, 0.742934, 11026
4, 1024, 1024, 16, KB, 64MB, 8192, 0.833418, 9829
4, 1024, 1024, 32, KB, 128MB, 8192, 1.09792, 7461
4, 1024, 1024, 64, KB, 256MB, 8192, 1.38406, 5918
4, 1024, 1024, 128, KB, 512MB, 8192, 1.56775, 5225
4, 1024, 1024, 256, KB, 1024MB, 8192, 2.74468, 2984
4, 1024, 1024, 512, KB, 2048MB, 8192, 4.58752, 1785
4, 1024, 1024, 1024, KB, 4096MB, 8192, 9.39469, 871
4, 512, 512, 1, MB, 2048MB, 4096, 5.93391, 690
4, 256, 256, 2, MB, 2048MB, 2048, 5.56958, 367
4, 128, 128, 4, MB, 2048MB, 1024, 5.66974, 180
4, 64, 64, 8, MB, 2048MB, 512, 5.60752, 91
4, 32, 32, 16, MB, 2048MB, 256, 5.46766, 46
