Number of threads, Number of insertions, Number of reads, Block Size, Size unit, Memory consumption, Total number of requests, Time elapsed, Requests per second
1, 4096, 4096, 1, KB, 4MB, 8192, 0.626705, 13071
1, 4096, 4096, 2, KB, 8MB, 8192, 0.559433, 14643
1, 4096, 4096, 4, KB, 16MB, 8192, 0.591063, 13859
1, 4096, 4096, 8, KB, 32MB, 8192, 0.601149, 13627
1, 4096, 4096, 16, KB, 64MB, 8192, 0.649784, 12607
1, 4096, 4096, 32, KB, 128MB, 8192, 0.724553, 11306
1, 4096, 4096, 64, KB, 256MB, 8192, 0.922089, 8884
1, 4096, 4096, 128, KB, 512MB, 8192, 1.15997, 7062
1, 4096, 4096, 256, KB, 1024MB, 8192, 1.68181, 4870
1, 4096, 4096, 512, KB, 2048MB, 8192, 2.81057, 2914
1, 4096, 4096, 1024, KB, 4096MB, 8192, 5.83426, 1404
1, 2048, 2048, 1, MB, 2048MB, 4096, 4.2265, 969
1, 1024, 1024, 2, MB, 2048MB, 2048, 3.74043, 547
1, 512, 512, 4, MB, 2048MB, 1024, 3.36764, 304
1, 128, 128, 16, MB, 2048MB, 256, 3.08766, 82
2, 2048, 2048, 1, KB, 4MB, 8192, 0.783524, 10455
2, 2048, 2048, 2, KB, 8MB, 8192, 0.560926, 14604
2, 2048, 2048, 4, KB, 16MB, 8192, 0.581874, 14078
2, 2048, 2048, 8, KB, 32MB, 8192, 0.599999, 13653
2, 2048, 2048, 16, KB, 64MB, 8192, 0.645653, 12687
2, 2048, 2048, 32, KB, 128MB, 8192, 0.745721, 10985
2, 2048, 2048, 64, KB, 256MB, 8192, 0.885749, 9248
2, 2048, 2048, 128, KB, 512MB, 8192, 1.08949, 7519
2, 2048, 2048, 256, KB, 1024MB, 8192, 1.55145, 5280
2, 2048, 2048, 512, KB, 2048MB, 8192, 2.56452, 3194
2, 2048, 2048, 1024, KB, 4096MB, 8192, 5.44568, 1504
2, 1024, 1024, 1, MB, 2048MB, 4096, 3.12017, 1312
2, 512, 512, 2, MB, 2048MB, 2048, 3.02457, 677
2, 256, 256, 4, MB, 2048MB, 1024, 3.23445, 316
2, 64, 64, 16, MB, 2048MB, 256, 3.01101, 85
3, 1365, 1365, 1, KB, 3MB, 8190, 1.95038, 4199
3, 1365, 1365, 2, KB, 7MB, 8190, 0.56841, 14408
3, 1365, 1365, 4, KB, 15MB, 8190, 0.583593, 14033
3, 1365, 1365, 8, KB, 31MB, 8190, 0.578902, 14147
3, 1365, 1365, 16, KB, 63MB, 8190, 0.646556, 12667
3, 1365, 1365, 32, KB, 127MB, 8190, 0.760149, 10774
3, 1365, 1365, 64, KB, 255MB, 8190, 0.87724, 9336
3, 1365, 1365, 128, KB, 511MB, 8190, 1.09633, 7470
3, 1365, 1365, 256, KB, 1023MB, 8190, 1.52214, 5380
3, 1365, 1365, 512, KB, 2047MB, 8190, 2.52429, 3244
3, 1365, 1365, 1024, KB, 4095MB, 8190, 5.36193, 1527
3, 682, 682, 1, MB, 2046MB, 4092, 3.08209, 1327
3, 341, 341, 2, MB, 2046MB, 2046, 2.96406, 690
3, 170, 170, 4, MB, 2040MB, 1020, 3.20893, 317
3, 42, 42, 16, MB, 2016MB, 252, 2.93364, 85
4, 1024, 1024, 1, KB, 4MB, 8192, 0.847446, 9666
4, 1024, 1024, 2, KB, 8MB, 8192, 0.557866, 14684
4, 1024, 1024, 4, KB, 16MB, 8192, 0.576751, 14203
4, 1024, 1024, 8, KB, 32MB, 8192, 0.585602, 13989
4, 1024, 1024, 16, KB, 64MB, 8192, 0.650464, 12594
4, 1024, 1024, 32, KB, 128MB, 8192, 0.740521, 11062
4, 1024, 1024, 64, KB, 256MB, 8192, 0.866427, 9454
4, 1024, 1024, 128, KB, 512MB, 8192, 1.07523, 7618
4, 1024, 1024, 256, KB, 1024MB, 8192, 1.52801, 5361
4, 1024, 1024, 512, KB, 2048MB, 8192, 2.49578, 3282
4, 1024, 1024, 1024, KB, 4096MB, 8192, 5.03543, 1626
4, 512, 512, 1, MB, 2048MB, 4096, 3.11522, 1314
4, 256, 256, 2, MB, 2048MB, 2048, 2.94672, 695
4, 128, 128, 4, MB, 2048MB, 1024, 3.09855, 330
4, 32, 32, 16, MB, 2048MB, 256, 3.02146, 84
