Number of threads, Number of insertions, Number of reads, Block Size, Size unit, Memory consumption, Total number of requests, Time elapsed, Requests per second
1, 4096, 4096, 1, KB, 4MB, 8192, 14.5253, 563
1, 4096, 4096, 2, KB, 8MB, 8192, 6.62658, 1236
1, 4096, 4096, 4, KB, 16MB, 8192, 7.30632, 1121
1, 4096, 4096, 8, KB, 32MB, 8192, 11.5861, 707
1, 4096, 4096, 16, KB, 64MB, 8192, 15.1619, 540
1, 4096, 4096, 32, KB, 128MB, 8192, 23.9034, 342
1, 4096, 4096, 64, KB, 256MB, 8192, 41.2239, 198
1, 4096, 4096, 128, KB, 512MB, 8192, 77.1329, 106
1, 4096, 4096, 256, KB, 1024MB, 8192, 149.572, 54
1, 4096, 4096, 512, KB, 2048MB, 8192, 292.754, 27
1, 4096, 4096, 1024, KB, 4096MB, 8192, 523.431, 15
1, 2048, 2048, 1, MB, 2048MB, 4096, 300.198, 13
1, 1024, 1024, 2, MB, 2048MB, 2048, 270.886, 7
1, 512, 512, 4, MB, 2048MB, 1024, 334.948, 3
1, 256, 256, 8, MB, 2048MB, 512, 270.596, 1
1, 128, 128, 16, MB, 2048MB, 256, 257.808, 0
1, 64, 64, 32, MB, 2048MB, 128, 265.38, 0
1, 32, 32, 64, MB, 2048MB, 64, 237.141, 0
1, 16, 16, 128, MB, 2048MB, 32, 246.89, 0
1, 8, 8, 256, MB, 2048MB, 16, 246.314, 0
1, 4, 4, 512, MB, 2048MB, 8, 205.375, 0
4, 1024, 1024, 1, KB, 4MB, 8192, 21.6898, 377
4, 1024, 1024, 2, KB, 8MB, 8192, 12.1635, 673
4, 1024, 1024, 4, KB, 16MB, 8192, 15.7144, 521
4, 1024, 1024, 8, KB, 32MB, 8192, 22.8402, 358
4, 1024, 1024, 16, KB, 64MB, 8192, 19.7921, 413
4, 1024, 1024, 32, KB, 128MB, 8192, 22.8581, 358
4, 1024, 1024, 64, KB, 256MB, 8192, 38.469, 212
4, 1024, 1024, 128, KB, 512MB, 8192, 74.4749, 109
4, 1024, 1024, 256, KB, 1024MB, 8192, 138.954, 58
4, 1024, 1024, 512, KB, 2048MB, 8192, 300.177, 27
4, 1024, 1024, 1024, KB, 4096MB, 8192, 590.71, 13
4, 512, 512, 1, MB, 2048MB, 4096, 278.273, 14
4, 256, 256, 2, MB, 2048MB, 2048, 295.299, 6
4, 128, 128, 4, MB, 2048MB, 1024, 248.78, 4
4, 64, 64, 8, MB, 2048MB, 512, 232.915, 2
4, 32, 32, 16, MB, 2048MB, 256, 236.224, 1
4, 16, 16, 32, MB, 2048MB, 128, 226.612, 0
4, 8, 8, 64, MB, 2048MB, 64, 221.586, 0
4, 4, 4, 128, MB, 2048MB, 32, 216, 0
4, 2, 2, 256, MB, 2048MB, 16, 214.328, 0
4, 1, 1, 512, MB, 2048MB, 8, 204.587, 0
2, 8, 8, 1024, MB, 16384MB, 32, 1717.01, 0
2, 4, 4, 2048, MB, 16384MB, 16, 1722.37, 0
2, 2, 2, 4096, MB, 16384MB, 8, 1007.71, 0
