Number of threads, Number of insertions, Number of reads, Block Size, Size unit, Memory consumption, Total number of requests, Time elapsed, Requests per second
1, 4096, 4096, 1, KB, 4MB, 8192, 5.68684, 1440
1, 4096, 4096, 2, KB, 8MB, 8192, 7.26678, 1127
1, 4096, 4096, 4, KB, 16MB, 8192, 7.87215, 1040
1, 4096, 4096, 8, KB, 32MB, 8192, 31.8641, 257
1, 4096, 4096, 16, KB, 64MB, 8192, 17.8652, 458
1, 4096, 4096, 32, KB, 128MB, 8192, 24.1845, 338
1, 4096, 4096, 64, KB, 256MB, 8192, 41.777, 196
1, 4096, 4096, 128, KB, 512MB, 8192, 77.3897, 105
1, 4096, 4096, 256, KB, 1024MB, 8192, 189.313, 43
1, 4096, 4096, 512, KB, 2048MB, 8192, 305.396, 26
1, 4096, 4096, 1024, KB, 4096MB, 8192, 521.602, 15
1, 2048, 2048, 1, MB, 2048MB, 4096, 273.665, 14
1, 1024, 1024, 2, MB, 2048MB, 2048, 245.761, 8
1, 512, 512, 4, MB, 2048MB, 1024, 269.586, 3
1, 128, 128, 16, MB, 2048MB, 256, 243.772, 1
1, 64, 64, 32, MB, 2048MB, 128, 243.632, 0
1, 32, 32, 64, MB, 2048MB, 64, 228.85, 0
1, 16, 16, 128, MB, 2048MB, 32, 248.551, 0
1, 8, 8, 256, MB, 2048MB, 16, 230.578, 0
1, 4, 4, 512, MB, 2048MB, 8, 211.415, 0
2, 2048, 2048, 1, KB, 4MB, 8192, 24.9934, 327
2, 2048, 2048, 2, KB, 8MB, 8192, 18.093, 452
2, 2048, 2048, 4, KB, 16MB, 8192, 18.0791, 453
2, 2048, 2048, 8, KB, 32MB, 8192, 23.7837, 344
2, 2048, 2048, 16, KB, 64MB, 8192, 24.4027, 335
2, 2048, 2048, 32, KB, 128MB, 8192, 23.1445, 353
2, 2048, 2048, 64, KB, 256MB, 8192, 40.8868, 200
2, 2048, 2048, 128, KB, 512MB, 8192, 87.0141, 94
2, 2048, 2048, 256, KB, 1024MB, 8192, 170.269, 48
2, 2048, 2048, 512, KB, 2048MB, 8192, 287.526, 28
2, 2048, 2048, 1024, KB, 4096MB, 8192, 557.305, 14
2, 1024, 1024, 1, MB, 2048MB, 4096, 288.949, 14
2, 512, 512, 2, MB, 2048MB, 2048, 275.124, 7
2, 256, 256, 4, MB, 2048MB, 1024, 275.351, 3
2, 64, 64, 16, MB, 2048MB, 256, 257.181, 0
2, 32, 32, 32, MB, 2048MB, 128, 250.577, 0
2, 16, 16, 64, MB, 2048MB, 64, 235.296, 0
2, 8, 8, 128, MB, 2048MB, 32, 225.664, 0
2, 4, 4, 256, MB, 2048MB, 16, 221.875, 0
2, 2, 2, 512, MB, 2048MB, 8, 203.088, 0
3, 1365, 1365, 1, KB, 3MB, 8190, 24.644, 332
3, 1365, 1365, 2, KB, 7MB, 8190, 13.7831, 594
3, 1365, 1365, 4, KB, 15MB, 8190, 15.9554, 513
3, 1365, 1365, 8, KB, 31MB, 8190, 21.9677, 372
3, 1365, 1365, 16, KB, 63MB, 8190, 21.7706, 376
3, 1365, 1365, 32, KB, 127MB, 8190, 26.5124, 308
3, 1365, 1365, 64, KB, 255MB, 8190, 44.3877, 184
3, 1365, 1365, 128, KB, 511MB, 8190, 78.0633, 104
3, 1365, 1365, 256, KB, 1023MB, 8190, 160.487, 51
3, 1365, 1365, 512, KB, 2047MB, 8190, 310.62, 26
3, 1365, 1365, 1024, KB, 4095MB, 8190, 572.723, 14
3, 682, 682, 1, MB, 2046MB, 4092, 301.841, 13
3, 341, 341, 2, MB, 2046MB, 2046, 293.409, 6
3, 170, 170, 4, MB, 2040MB, 1020, 304.687, 3
3, 42, 42, 16, MB, 2016MB, 252, 254.965, 0
3, 21, 21, 32, MB, 2016MB, 126, 244.811, 0
3, 10, 10, 64, MB, 1920MB, 60, 215.356, 0
3, 5, 5, 128, MB, 1920MB, 30, 206.241, 0
3, 2, 2, 256, MB, 1536MB, 12, 156.501, 0
3, 1, 1, 512, MB, 1536MB, 6, 152.929, 0
4, 1024, 1024, 1, KB, 4MB, 8192, 12.6706, 646
4, 1024, 1024, 2, KB, 8MB, 8192, 13.6261, 601
4, 1024, 1024, 4, KB, 16MB, 8192, 14.3065, 572
4, 1024, 1024, 8, KB, 32MB, 8192, 22.4558, 364
4, 1024, 1024, 16, KB, 64MB, 8192, 26.2619, 311
4, 1024, 1024, 32, KB, 128MB, 8192, 24.3349, 336
4, 1024, 1024, 64, KB, 256MB, 8192, 41.2211, 198
4, 1024, 1024, 128, KB, 512MB, 8192, 75.1499, 109
4, 1024, 1024, 256, KB, 1024MB, 8192, 147.86, 55
4, 1024, 1024, 512, KB, 2048MB, 8192, 295.048, 27
4, 1024, 1024, 1024, KB, 4096MB, 8192, 549.999, 14
4, 512, 512, 1, MB, 2048MB, 4096, 281.744, 14
4, 256, 256, 2, MB, 2048MB, 2048, 280.712, 7
4, 128, 128, 4, MB, 2048MB, 1024, 263.882, 3
4, 32, 32, 16, MB, 2048MB, 256, 240.36, 1
4, 16, 16, 32, MB, 2048MB, 128, 233.583, 0
4, 8, 8, 64, MB, 2048MB, 64, 227.634, 0
4, 4, 4, 128, MB, 2048MB, 32, 213.725, 0
4, 2, 2, 256, MB, 2048MB, 16, 212.687, 0
4, 1, 1, 512, MB, 2048MB, 8, 206.831, 0
2, 8, 8, 1024, MB, 16384MB, 32, 1734.13, 0
2, 4, 4, 2048, MB, 16384MB, 16, 1693.52, 0
2, 2, 2, 4096, MB, 16384MB, 8, 965.297, 0
