Number of threads, Number of insertions, Number of reads, Block Size, Size unit, Memory consumption, Total number of requests, Time elapsed, Requests per second
1, 4096, 4096, 1, KB, 4MB, 8192, 0.611199, 13403
1, 4096, 4096, 2, KB, 8MB, 8192, 0.561974, 14577
1, 4096, 4096, 4, KB, 16MB, 8192, 0.608591, 13460
1, 4096, 4096, 8, KB, 32MB, 8192, 0.600501, 13641
1, 4096, 4096, 16, KB, 64MB, 8192, 0.878885, 9320
1, 4096, 4096, 32, KB, 128MB, 8192, 0.918517, 8918
1, 4096, 4096, 64, KB, 256MB, 8192, 1.42907, 5732
1, 4096, 4096, 128, KB, 512MB, 8192, 1.65898, 4937
1, 4096, 4096, 256, KB, 1024MB, 8192, 3.08003, 2659
1, 4096, 4096, 512, KB, 2048MB, 8192, 7.13205, 1148
1, 4096, 4096, 1024, KB, 4096MB, 8192, 15.7356, 520
1, 2048, 2048, 1, MB, 2048MB, 4096, 7.28748, 562
1, 1024, 1024, 2, MB, 2048MB, 2048, 8.89363, 230
1, 512, 512, 4, MB, 2048MB, 1024, 9.16315, 111
1, 256, 256, 8, MB, 2048MB, 512, 8.41256, 60
1, 128, 128, 16, MB, 2048MB, 256, 8.84401, 28
1, 64, 64, 32, MB, 2048MB, 128, 10.1198, 12
1, 32, 32, 64, MB, 2048MB, 64, 10.5193, 6
1, 16, 16, 128, MB, 2048MB, 32, 10.5341, 3
1, 8, 8, 256, MB, 2048MB, 16, 10.5369, 1
1, 4, 4, 512, MB, 2048MB, 8, 10.6144, 0
2, 2048, 2048, 1, KB, 4MB, 8192, 0.582336, 14067
2, 2048, 2048, 2, KB, 8MB, 8192, 0.565123, 14495
2, 2048, 2048, 4, KB, 16MB, 8192, 0.614529, 13330
2, 2048, 2048, 8, KB, 32MB, 8192, 0.727075, 11267
2, 2048, 2048, 16, KB, 64MB, 8192, 0.815726, 10042
2, 2048, 2048, 32, KB, 128MB, 8192, 1.22533, 6685
2, 2048, 2048, 64, KB, 256MB, 8192, 1.49966, 5462
2, 2048, 2048, 128, KB, 512MB, 8192, 1.78221, 4596
2, 2048, 2048, 256, KB, 1024MB, 8192, 2.89078, 2833
2, 2048, 2048, 512, KB, 2048MB, 8192, 7.00012, 1170
2, 2048, 2048, 1024, KB, 4096MB, 8192, 15.5843, 525
2, 1024, 1024, 1, MB, 2048MB, 4096, 7.99815, 512
2, 512, 512, 2, MB, 2048MB, 2048, 8.56299, 239
2, 256, 256, 4, MB, 2048MB, 1024, 8.93644, 114
2, 128, 128, 8, MB, 2048MB, 512, 8.37477, 61
2, 64, 64, 16, MB, 2048MB, 256, 9.06816, 28
2, 32, 32, 32, MB, 2048MB, 128, 10.2841, 12
2, 16, 16, 64, MB, 2048MB, 64, 10.3571, 6
2, 8, 8, 128, MB, 2048MB, 32, 10.2267, 3
2, 4, 4, 256, MB, 2048MB, 16, 10.1761, 1
2, 2, 2, 512, MB, 2048MB, 8, 10.5376, 0
3, 1365, 1365, 1, KB, 3MB, 8190, 0.651252, 12575
3, 1365, 1365, 2, KB, 7MB, 8190, 0.627848, 13044
3, 1365, 1365, 4, KB, 15MB, 8190, 0.703033, 11649
3, 1365, 1365, 8, KB, 31MB, 8190, 0.669915, 12225
3, 1365, 1365, 16, KB, 63MB, 8190, 0.875404, 9355
3, 1365, 1365, 32, KB, 127MB, 8190, 1.09125, 7505
3, 1365, 1365, 64, KB, 255MB, 8190, 1.60213, 5111
3, 1365, 1365, 128, KB, 511MB, 8190, 2.06082, 3974
3, 1365, 1365, 256, KB, 1023MB, 8190, 3.09891, 2642
3, 1365, 1365, 512, KB, 2047MB, 8190, 8.00803, 1022
3, 1365, 1365, 1024, KB, 4095MB, 8190, 16.6135, 492
3, 682, 682, 1, MB, 2046MB, 4092, 8.48349, 482
3, 341, 341, 2, MB, 2046MB, 2046, 9.08818, 225
3, 170, 170, 4, MB, 2040MB, 1020, 9.25634, 110
3, 85, 85, 8, MB, 2040MB, 510, 8.43975, 60
3, 42, 42, 16, MB, 2016MB, 252, 8.89693, 28
