Number of threads, Number of insertions, Number of reads, Block Size, Size unit, Memory consumption, Total number of requests, Time elapsed, Requests per second
1, 4096, 4096, 1, KB, 4MB, 8192, 0.382987, 21389
1, 4096, 4096, 2, KB, 8MB, 8192, 0.387137, 21160
1, 4096, 4096, 4, KB, 16MB, 8192, 0.382635, 21409
1, 4096, 4096, 8, KB, 32MB, 8192, 0.418605, 19569
1, 4096, 4096, 16, KB, 64MB, 8192, 0.449648, 18218
1, 4096, 4096, 32, KB, 128MB, 8192, 0.559356, 14645
1, 4096, 4096, 64, KB, 256MB, 8192, 0.665521, 12309
1, 4096, 4096, 128, KB, 512MB, 8192, 1.30433, 6280
1, 4096, 4096, 256, KB, 1024MB, 8192, 3.44865, 2375
1, 4096, 4096, 512, KB, 2048MB, 8192, 7.63313, 1073
1, 4096, 4096, 1024, KB, 4096MB, 8192, 16.3394, 501
1, 2048, 2048, 1, MB, 2048MB, 4096, 7.99239, 512
1, 1024, 1024, 2, MB, 2048MB, 2048, 8.07428, 253
1, 512, 512, 4, MB, 2048MB, 1024, 8.32647, 122
1, 128, 128, 16, MB, 2048MB, 256, 8.10735, 31
1, 64, 64, 32, MB, 2048MB, 128, 9.49612, 13
1, 32, 32, 64, MB, 2048MB, 64, 10.5895, 6
1, 16, 16, 128, MB, 2048MB, 32, 10.465, 3
1, 8, 8, 256, MB, 2048MB, 16, 9.95368, 1
1, 4, 4, 512, MB, 2048MB, 8, 9.63282, 0
2, 2048, 2048, 1, KB, 4MB, 8192, 0.389677, 21022
2, 2048, 2048, 2, KB, 8MB, 8192, 0.36828, 22243
2, 2048, 2048, 4, KB, 16MB, 8192, 0.359339, 22797
2, 2048, 2048, 8, KB, 32MB, 8192, 0.373088, 21957
2, 2048, 2048, 16, KB, 64MB, 8192, 0.3967, 20650
2, 2048, 2048, 32, KB, 128MB, 8192, 0.493909, 16586
2, 2048, 2048, 64, KB, 256MB, 8192, 0.63598, 12880
2, 2048, 2048, 128, KB, 512MB, 8192, 0.894176, 9161
2, 2048, 2048, 256, KB, 1024MB, 8192, 1.64297, 4986
2, 2048, 2048, 512, KB, 2048MB, 8192, 4.7886, 1710
2, 2048, 2048, 1024, KB, 4096MB, 8192, 11.4593, 714
2, 1024, 1024, 1, MB, 2048MB, 4096, 5.25955, 778
2, 512, 512, 2, MB, 2048MB, 2048, 6.64624, 308
2, 256, 256, 4, MB, 2048MB, 1024, 7.0498, 145
2, 64, 64, 16, MB, 2048MB, 256, 7.58685, 33
2, 32, 32, 32, MB, 2048MB, 128, 9.8767, 12
2, 16, 16, 64, MB, 2048MB, 64, 9.21338, 6
2, 8, 8, 128, MB, 2048MB, 32, 8.86971, 3
2, 4, 4, 256, MB, 2048MB, 16, 8.84797, 1
2, 2, 2, 512, MB, 2048MB, 8, 8.77823, 0
3, 1365, 1365, 1, KB, 3MB, 8190, 0.358908, 22819
3, 1365, 1365, 2, KB, 7MB, 8190, 0.361159, 22676
3, 1365, 1365, 4, KB, 15MB, 8190, 0.36838, 22232
3, 1365, 1365, 8, KB, 31MB, 8190, 0.383127, 21376
3, 1365, 1365, 16, KB, 63MB, 8190, 0.391244, 20933
3, 1365, 1365, 32, KB, 127MB, 8190, 0.451919, 18122
3, 1365, 1365, 64, KB, 255MB, 8190, 0.59552, 13752
3, 1365, 1365, 128, KB, 511MB, 8190, 0.880822, 9298
3, 1365, 1365, 256, KB, 1023MB, 8190, 1.97434, 4148
3, 1365, 1365, 512, KB, 2047MB, 8190, 4.99185, 1640
3, 1365, 1365, 1024, KB, 4095MB, 8190, 11.1679, 733
3, 682, 682, 1, MB, 2046MB, 4092, 5.62313, 727
